Batch_ID,Machine_ID,Operator,Shift,Test_DateTime,Chamber_Temp_C,Chamber_Pressure_PSI,Spindle_Speed_RPM,Motor_Torque_Nm,Vibration_mmps,Coolant_Flow_Lpm,Input_Voltage_V,Input_Current_A,Output_Power_kW,Ambient_Temp_C,Ambient_Humidity_pct,Cycle_Time_s,Fill_Weight_g,Seal_Strength_N,Thickness_mm,Diameter_mm,Hardness_HRC,Surface_Roughness_Ra,Noise_Level_dB,Leak_Rate_sccm,Bearing_Temp_C,Hydraulic_Pressure_Bar,Gain_Setting,Filter_Mode,Calibration_Level,Recipe_Code,Tool_Head_Index,Program_Step,Standby_Sensor_Backup_V
BATCH-1098,M-01,R.Novak,Day,2026-01-26 21:24,185.0,44.648,2994.3,12.797,2.377,14.362,228.9,9.138,1.940,23.857,45.104,34.227,502.2,54.016,2.018,25.455,58.948,0.802,67.281,0.481,53.715,120.9,2,1,3,1,4,2,na
BATCH-1099,M-04,J.Lee,Night,2026-01-27 02:42,184.3,42.607,3061.9,12.017,2.045,14.000,231.1,8.161,1.948,22.032,41.360,35.201,498.8,55.466,2.074,25.369,58.408,0.890,68.602,0.337,55.276,112.6,2,1,2,1,4,2,na
BATCH-1100,M-04,A.Kumar,Night,2026-01-27 08:00,180.8,40.109,2920.3,12.569,1.943,14.450,232.8,8.103,1.800,22.463,44.086,30.756,502.8,57.475,2.140,25.485,58.685,0.709,68.368,0.621,52.445,122.4,2,1,3,1,4,2,na
BATCH-1101,M-04,J.Lee,Day,2026-01-27 13:18,183.7,43.377,2970.0,12.375,2.415,14.900,231.8,7.639,2.049,24.553,51.874,34.813,498.7,52.399,2.040,25.449,59.162,0.952,73.386,0.578,55.882,121.2,3,1,3,1,5,2,na
BATCH-1102,M-03,R.Novak,Night,2026-01-27 18:36,184.0,45.183,3000.3,13.434,1.889,15.350,230.1,8.244,1.874,22.361,41.770,33.215,504.7,53.026,2.086,25.455,57.602,0.851,68.700,0.547,57.629,122.6,2,0,3,1,4,2,na
BATCH-1103,M-01,J.Lee,Night,2026-01-27 23:54,182.6,43.549,3002.3,12.704,1.677,15.800,228.7,7.971,1.787,25.903,41.004,31.803,501.5,54.089,1.985,25.291,57.265,0.903,65.992,0.652,56.355,124.2,2,1,3,1,4,2,na
BATCH-1104,M-01,A.Kumar,Day,2026-01-28 05:12,184.5,39.721,2977.5,12.770,1.633,16.250,231.4,9.157,1.980,22.848,42.586,34.613,499.6,50.962,2.002,25.497,56.698,0.734,67.809,0.405,52.395,121.5,2,1,3,1,4,2,na
BATCH-1105,M-03,M.Chen,Night,2026-01-28 10:30,186.2,41.274,3031.1,12.170,2.282,14.429,230.8,8.904,1.765,19.359,40.233,35.648,501.8,52.542,2.074,25.421,57.010,0.885,64.448,0.675,54.795,120.6,2,1,3,1,4,2,na
BATCH-1106,M-03,J.Lee,Night,2026-01-28 15:48,190.7,43.900,2946.6,12.110,1.716,14.168,231.8,8.225,1.904,23.130,45.613,33.835,493.7,53.571,2.124,25.370,61.539,0.691,67.839,0.593,51.155,116.5,2,1,3,1,4,2,2.663
BATCH-1107,M-01,R.Novak,Night,2026-01-28 21:06,185.5,40.938,2992.9,12.154,2.626,15.471,231.3,9.401,1.899,22.572,53.123,35.143,495.5,57.623,2.068,25.411,59.494,0.889,66.334,0.476,55.259,117.2,2,1,3,1,4,2,na
BATCH-1108,M-03,A.Kumar,Night,2026-01-29 02:24,185.8,42.666,3006.0,12.816,1.475,14.448,232.1,8.893,2.063,23.935,46.615,35.935,495.2,55.788,2.034,25.258,56.379,0.817,69.831,0.614,54.991,124.7,2,1,3,1,4,2,na
BATCH-1109,M-04,R.Novak,Night,2026-01-29 07:42,184.8,43.162,3025.7,12.163,2.609,15.633,228.9,8.370,1.971,23.010,43.738,35.578,500.6,55.581,2.050,25.433,59.680,0.855,66.901,0.389,49.886,125.7,2,1,3,1,4,2,na
BATCH-1110,M-02,R.Novak,Night,2026-01-29 13:00,179.2,40.610,3035.6,12.732,2.163,15.203,232.6,7.500,1.896,21.792,43.541,35.968,506.9,57.553,1.987,25.318,59.560,0.682,67.766,0.418,51.444,119.0,2,1,3,1,4,2,na
BATCH-1111,M-04,J.Lee,Day,2026-01-29 18:18,184.9,41.911,2943.8,14.160,2.071,13.484,230.4,9.416,2.023,20.164,37.184,34.891,508.9,54.588,2.080,25.292,58.480,0.710,66.729,0.439,53.377,120.2,2,1,3,1,4,2,na
BATCH-1112,M-01,R.Novak,Day,2026-01-29 23:36,185.2,37.138,2923.3,13.197,1.937,16.548,234.2,7.944,2.109,21.686,49.416,34.091,502.6,56.171,2.094,25.278,59.800,0.860,71.478,0.447,53.338,116.4,2,1,3,1,4,2,na
BATCH-1113,M-03,J.Lee,Night,2026-01-30 04:54,192.4,40.463,3063.9,12.239,2.220,16.796,228.6,7.842,1.984,20.724,44.611,32.078,502.0,54.690,2.027,25.489,59.920,0.705,67.358,0.394,51.339,124.7,2,1,3,1,4,2,na
BATCH-1114,M-02,M.Chen,Night,2026-01-30 10:12,184.4,41.621,3016.6,13.461,2.089,14.387,233.5,8.909,1.902,21.129,44.098,33.705,492.8,55.796,2.026,25.350,57.849,0.846,71.665,0.622,54.856,122.7,2,1,2,1,4,2,na
BATCH-1115,M-01,R.Novak,Day,2026-01-30 15:30,185.9,40.128,2962.6,12.174,2.431,14.612,230.4,9.476,1.703,22.883,60.966,32.988,497.8,53.252,2.063,25.523,58.393,0.663,69.628,0.474,54.553,127.8,2,1,3,1,4,2,na
BATCH-1116,M-03,R.Novak,Night,2026-01-30 20:48,184.9,44.449,3077.6,10.870,2.134,15.286,228.7,9.054,1.740,24.505,46.494,36.605,496.8,47.684,2.028,na,58.103,0.885,68.964,0.535,53.573,116.5,3,1,3,1,4,2,na
BATCH-1117,M-02,R.Novak,Night,2026-01-31 02:06,181.5,39.855,3005.8,11.694,2.145,15.334,229.0,8.726,1.854,22.592,41.241,33.789,497.5,54.597,2.047,25.263,55.337,0.677,68.737,0.443,52.337,118.5,2,1,3,1,4,1,na
BATCH-1118,M-02,S.Ortiz,Day,2026-01-31 07:24,188.4,41.340,3059.0,11.003,1.991,15.659,229.4,8.738,1.809,20.206,42.868,34.148,499.3,59.268,2.155,25.311,57.724,0.855,68.788,0.318,56.307,120.9,2,0,3,1,4,2,na
BATCH-1119,M-03,S.Ortiz,Night,2026-01-31 12:42,187.3,42.196,3003.4,12.219,2.083,17.010,230.8,8.841,1.872,22.667,50.742,34.662,498.1,57.779,2.038,25.499,56.978,0.863,64.145,0.660,57.642,122.6,2,1,3,2,4,2,na
BATCH-1120,M-02,A.Kumar,Night,2026-01-31 18:00,187.4,44.162,3103.0,12.515,2.192,14.823,231.0,8.804,1.908,23.795,45.566,34.052,492.1,57.896,2.032,25.388,58.210,0.730,67.442,0.340,52.936,119.1,2,1,3,1,4,2,na
BATCH-1121,M-01,S.Ortiz,Day,2026-01-31 23:18,182.3,39.846,3087.8,13.841,1.587,14.202,228.9,8.612,1.979,21.085,37.809,36.034,503.0,58.708,2.018,25.356,61.582,0.858,69.690,0.660,52.653,116.5,3,1,3,1,4,2,na
BATCH-1122,M-03,A.Kumar,Night,2026-02-01 04:36,189.2,43.745,2987.6,12.762,1.696,13.621,230.0,8.542,1.889,21.799,49.596,33.253,495.7,55.266,2.087,25.413,58.441,0.826,67.902,0.340,55.081,123.5,2,0,3,1,4,2,na
BATCH-1123,M-04,S.Ortiz,Night,2026-02-01 09:54,180.8,42.015,3048.6,12.325,2.323,14.269,234.3,8.475,1.973,22.022,41.659,34.234,501.0,55.592,2.041,25.440,57.624,0.746,65.190,0.660,53.212,122.9,2,1,3,2,4,2,na
BATCH-1124,M-01,M.Chen,Night,2026-02-01 15:12,186.8,40.528,3032.3,13.164,2.151,14.967,233.5,8.198,1.910,20.823,54.366,33.109,508.3,53.147,2.018,25.489,59.106,0.699,67.895,0.340,53.693,116.3,2,1,3,1,4,2,na
BATCH-1125,M-01,A.Kumar,Night,2026-02-01 20:30,191.6,42.693,3068.4,10.731,2.045,16.795,230.9,8.388,1.604,22.972,50.400,32.416,496.3,54.052,2.116,25.516,58.579,0.604,71.408,0.660,55.627,125.4,2,1,3,1,4,2,na
BATCH-1126,M-03,S.Ortiz,Night,2026-02-02 01:48,182.0,42.299,2951.8,12.688,2.106,14.482,230.1,7.823,1.759,21.819,42.763,33.266,489.9,56.847,2.121,25.371,58.504,0.835,70.494,0.340,49.799,124.7,2,0,3,1,4,2,na
BATCH-1127,M-03,M.Chen,Day,2026-02-02 07:06,183.3,41.100,3034.3,13.117,2.204,15.224,230.2,8.461,1.878,22.629,51.405,33.956,498.9,58.612,2.020,25.294,58.728,0.644,67.876,0.415,56.900,120.5,2,1,3,1,4,2,na
BATCH-1128,M-02,S.Ortiz,Night,2026-02-02 12:24,185.3,42.105,3052.9,11.317,1.938,14.984,231.2,8.105,1.719,20.669,45.339,33.485,504.4,54.582,1.957,25.367,60.468,0.810,69.903,0.554,54.160,120.3,2,1,3,2,4,2,na
BATCH-1129,M-01,J.Lee,Day,2026-02-02 17:42,183.5,41.422,2912.1,9.309,1.867,16.188,228.0,8.059,1.990,21.344,49.264,33.169,507.8,53.649,2.100,25.421,56.643,0.774,67.267,0.520,53.095,122.2,2,1,4,1,4,2,na
BATCH-1130,M-02,J.Lee,Day,2026-02-02 23:00,180.3,42.170,na,12.771,2.159,17.527,229.5,8.572,2.130,23.084,47.424,32.312,495.1,55.002,2.016,25.323,58.568,0.868,64.592,0.526,53.804,116.6,2,1,2,1,4,2,na
BATCH-1131,M-01,M.Chen,Night,2026-02-03 04:18,185.2,42.993,2898.0,12.168,1.806,14.469,na,9.057,2.083,21.441,40.768,33.900,502.0,56.804,2.090,25.323,56.888,0.770,66.151,0.627,53.917,120.1,2,1,3,1,4,2,na
BATCH-1132,M-01,R.Novak,Night,2026-02-03 09:36,181.8,44.379,2986.5,13.006,2.222,14.511,230.8,8.867,1.868,24.590,41.782,32.194,498.1,50.668,1.951,25.428,58.667,0.767,71.126,0.573,50.191,111.4,3,1,3,1,4,2,na
BATCH-1133,M-04,R.Novak,Day,2026-02-03 14:54,186.4,40.143,3035.9,14.317,1.589,16.044,231.3,7.872,2.124,21.401,50.150,34.912,499.6,48.111,2.095,25.396,56.898,0.873,67.452,0.529,57.289,123.5,2,1,3,1,4,2,na
BATCH-1134,M-01,J.Lee,Day,2026-02-03 20:12,182.2,45.200,3075.1,12.645,2.409,15.682,229.0,8.104,1.922,22.337,43.326,34.099,510.6,53.348,1.989,25.403,57.499,0.834,67.513,0.335,54.091,113.8,2,1,3,1,4,2,na
BATCH-1135,M-02,J.Lee,Night,2026-02-04 01:30,189.6,39.072,3003.7,12.699,2.242,16.847,233.1,8.876,1.849,23.399,42.982,32.251,494.0,51.338,2.087,25.339,57.646,0.832,67.400,0.404,54.975,126.0,2,1,3,1,4,2,na
BATCH-1136,M-02,R.Novak,Day,2026-02-04 06:48,182.7,41.772,3081.4,12.133,2.177,15.584,227.5,8.107,1.808,19.872,40.224,33.629,501.0,53.476,2.051,25.382,59.171,0.847,71.808,0.488,56.093,118.7,2,1,3,1,4,2,na
BATCH-1137,M-04,A.Kumar,Day,2026-02-04 12:06,184.0,42.882,2931.0,11.820,2.395,14.641,227.1,8.410,1.855,19.359,47.118,33.097,501.9,54.557,2.002,25.326,59.102,0.646,71.252,0.509,51.753,119.2,2,0,3,1,4,1,na
BATCH-1138,M-02,R.Novak,Day,2026-02-04 17:24,187.4,42.421,2914.8,13.164,2.600,15.591,230.4,8.720,1.842,19.712,55.313,34.383,504.3,53.640,2.030,25.471,56.505,0.876,72.438,0.387,55.042,117.5,2,1,4,1,4,2,na
BATCH-1139,M-03,S.Ortiz,Day,2026-02-04 22:42,181.3,41.066,2997.2,11.815,2.404,16.109,232.1,8.113,1.926,23.894,39.662,35.609,500.4,na,2.084,25.483,58.066,0.861,67.682,0.741,53.411,118.8,2,1,3,1,4,2,na
BATCH-1140,M-04,A.Kumar,Day,2026-02-05 04:00,185.7,41.688,3019.2,12.557,1.548,15.820,233.4,8.542,1.924,21.172,45.121,31.750,501.2,55.980,2.055,25.252,57.149,0.698,68.591,0.652,55.863,125.7,2,1,3,1,4,2,na
BATCH-1141,M-02,S.Ortiz,Day,2026-02-05 09:18,188.9,41.260,2998.4,12.118,1.716,15.507,229.1,7.966,1.900,25.837,52.061,34.138,498.4,55.901,2.079,25.326,56.490,0.776,64.967,0.560,49.320,110.0,2,1,3,1,4,2,na
BATCH-1142,M-02,J.Lee,Night,2026-02-05 14:36,180.2,41.116,2896.6,12.883,1.913,16.067,232.2,8.259,1.966,21.154,44.602,33.808,501.1,56.867,2.149,25.280,57.740,0.796,70.954,0.507,53.782,125.1,3,1,3,1,4,2,na
BATCH-1143,M-03,A.Kumar,Day,2026-02-05 19:54,185.6,43.274,2995.5,12.767,2.108,16.169,229.9,8.628,2.079,22.277,47.262,34.806,498.6,51.584,1.972,25.348,57.630,0.787,65.664,0.479,52.674,121.4,2,1,3,1,4,2,na
BATCH-1144,M-04,S.Ortiz,Night,2026-02-06 01:12,185.8,42.536,2934.8,13.330,2.255,16.382,229.7,7.863,2.042,24.313,39.688,34.256,502.5,58.117,2.131,25.393,60.912,0.833,68.434,0.405,54.951,115.2,2,1,3,1,4,2,na
BATCH-1145,M-03,S.Ortiz,Night,2026-02-06 06:30,187.3,40.961,3033.5,12.092,1.882,15.649,231.8,8.676,1.677,25.009,47.142,33.098,498.5,54.773,2.055,25.284,58.520,0.943,65.805,0.508,55.034,115.7,2,1,3,1,4,2,na
BATCH-1146,M-04,A.Kumar,Day,2026-02-06 11:48,181.3,43.349,3018.3,12.284,2.156,14.833,231.3,8.492,1.517,25.092,44.064,33.617,501.5,57.011,2.005,25.326,56.347,0.908,66.822,0.526,52.443,126.7,2,2,3,1,4,2,3.760
BATCH-1147,M-04,M.Chen,Night,2026-02-06 17:06,181.0,42.461,2953.0,11.717,1.873,15.147,226.8,8.721,2.040,23.813,49.929,33.045,499.9,51.784,1.983,25.320,57.322,0.669,66.325,0.376,52.433,116.2,2,1,3,1,4,2,na
BATCH-1148,M-01,R.Novak,Night,2026-02-06 22:24,186.6,43.219,2974.3,12.145,1.917,16.207,233.0,8.590,1.695,23.536,50.937,35.291,504.5,50.339,2.041,25.417,59.226,0.862,66.784,0.533,53.757,115.4,3,1,3,1,4,2,na
BATCH-1149,M-02,S.Ortiz,Night,2026-02-07 03:42,185.9,42.944,2947.0,12.802,1.678,14.183,232.8,9.046,1.866,22.889,57.948,34.026,499.8,57.454,2.096,25.406,60.506,0.933,66.922,0.484,52.027,124.5,2,0,3,1,4,2,na
